chrom	pos	sid	nt1	nt2	raw_beta	ldpred_beta
chrom1	1043	1_rs43	A	G	0.0347207153387798	0.0347207153387798
chrom1	1044	1_rs44	A	G	0.009072260059438514	0.009072260059438514
chrom1	1045	1_rs45	A	G	0.031014143158107303	0.031014143158107303
chrom1	1046	1_rs46	A	G	-0.020912100153677674	-0.020912100153677674
chrom1	1047	1_rs47	A	G	0.018740796624613358	0.018740796624613358
chrom1	1048	1_rs48	A	G	0.005777164894641398	0.005777164894641398
chrom1	1049	1_rs49	A	G	-0.0038860149765725773	-0.0038860149765725773
chrom1	1050	1_rs50	A	G	0.009136444520354423	0.009136444520354423
chrom1	1051	1_rs51	A	G	-0.0014685539846461442	-0.0014685539846461442
chrom1	1052	1_rs52	A	G	-0.04303809520158549	-0.04303809520158549
chrom1	1053	1_rs53	A	G	0.00584769268250155	0.00584769268250155
chrom1	1054	1_rs54	A	G	0.01824525770813515	0.01824525770813515
chrom1	1055	1_rs55	A	G	-0.00037672322936828487	-0.00037672322936828487
chrom1	1056	1_rs56	A	G	-0.001769316321414798	-0.001769316321414798
chrom1	1057	1_rs57	A	G	-0.01963008370496622	-0.01963008370496622
chrom1	1058	1_rs58	A	G	-0.008812631241782784	-0.008812631241782784
chrom1	1059	1_rs59	A	G	-0.00625706461075431	-0.00625706461075431
chrom1	1060	1_rs60	A	G	0.055730340410240733	0.055730340410240733
chrom1	1061	1_rs61	A	G	-0.0012825801600607732	-0.0012825801600607732
chrom1	1062	1_rs62	A	G	-0.016967603540778146	-0.016967603540778146
chrom1	1063	1_rs63	A	G	-0.012983658808911837	-0.012983658808911837
chrom1	1064	1_rs64	A	G	-0.009615776952377251	-0.009615776952377251
chrom1	1065	1_rs65	A	G	0.032383264340447616	0.032383264340447616
chrom1	1066	1_rs66	A	G	0.0055694490680742205	0.0055694490680742205
chrom1	1067	1_rs67	A	G	-0.026063038557498076	-0.026063038557498076
chrom1	1068	1_rs68	A	G	0.0045360900460228335	0.0045360900460228335
chrom1	1069	1_rs69	A	G	-0.005642921066132894	-0.005642921066132894
chrom1	1070	1_rs70	A	G	-0.0426028208553741	-0.0426028208553741
chrom1	1071	1_rs71	A	G	0.036311504097875855	0.036311504097875855
chrom1	1072	1_rs72	A	G	0.01623574395993252	0.01623574395993252
chrom1	1073	1_rs73	A	G	-0.0439105643931803	-0.0439105643931803
chrom1	1074	1_rs74	A	G	0.003575092168877742	0.003575092168877742
chrom1	1075	1_rs75	A	G	0.01805709082338338	0.01805709082338338
chrom1	1076	1_rs76	A	G	-0.016517929898085013	-0.016517929898085013
chrom1	1077	1_rs77	A	G	-0.014906392206809758	-0.014906392206809758
chrom1	1078	1_rs78	A	G	-0.02042604027706154	-0.02042604027706154
chrom1	1079	1_rs79	A	G	0.010590958735731015	0.010590958735731015
chrom1	1080	1_rs80	A	G	-0.017006629861565443	-0.017006629861565443
chrom1	1081	1_rs81	A	G	-0.012120966091838053	-0.012120966091838053
chrom1	1082	1_rs82	A	G	0.007794301986939412	0.007794301986939412
chrom1	1083	1_rs83	A	G	-0.020132638991559565	-0.020132638991559565
chrom1	1084	1_rs84	A	G	-0.009788101141466056	-0.009788101141466056
chrom1	1085	1_rs85	A	G	0.004626244411094622	0.004626244411094622
chrom1	1086	1_rs86	A	G	-0.010213244995754395	-0.010213244995754395
chrom1	1087	1_rs87	A	G	-0.025077992700668614	-0.025077992700668614
chrom1	1088	1_rs88	A	G	-0.006647801811438118	-0.006647801811438118
chrom1	1089	1_rs89	A	G	-0.005530027938474861	-0.005530027938474861
chrom1	1090	1_rs90	A	G	0.012473387279542497	0.012473387279542497
chrom1	1091	1_rs91	A	G	0.006014223329588408	0.006014223329588408
chrom1	1092	1_rs92	A	G	0.013030511043061802	0.013030511043061802
chrom1	1093	1_rs93	A	G	0.0037839612247498413	0.0037839612247498413
chrom1	1094	1_rs94	A	G	-0.011473709541466634	-0.011473709541466634
chrom1	1095	1_rs95	A	G	-0.0018784113733398388	-0.0018784113733398388
chrom1	1096	1_rs96	A	G	-0.005831975261746364	-0.005831975261746364
chrom1	1097	1_rs97	A	G	-0.010489032779322137	-0.010489032779322137
chrom1	1098	1_rs98	A	G	0.017727132523619658	0.017727132523619658
chrom1	1099	1_rs99	A	G	-0.00021229057072303772	-0.00021229057072303772
chrom1	1100	1_rs100	A	G	-0.006259257210662273	-0.006259257210662273
chrom1	1101	1_rs101	A	G	0.001184422585519308	0.001184422585519308
chrom1	1102	1_rs102	A	G	-0.02402169071191695	-0.02402169071191695
chrom1	1103	1_rs103	A	G	-0.02062899932815809	-0.02062899932815809
chrom1	1104	1_rs104	A	G	0.024960901672872213	0.024960901672872213
chrom1	1105	1_rs105	A	G	0.009382403742594239	0.009382403742594239
chrom1	1106	1_rs106	A	G	0.05448599220235366	0.05448599220235366
chrom1	1107	1_rs107	A	G	-0.006190658872264119	-0.006190658872264119
chrom1	1108	1_rs108	A	G	-0.01805973065911375	-0.01805973065911375
chrom1	1109	1_rs109	A	G	-0.0047035867944114395	-0.0047035867944114395
chrom1	1110	1_rs110	A	G	-0.014361536486908423	-0.014361536486908423
chrom1	1111	1_rs111	A	G	-0.01806769670076425	-0.01806769670076425
chrom1	1112	1_rs112	A	G	-0.017741732287755725	-0.017741732287755725
chrom1	1113	1_rs113	A	G	0.0026882038024035565	0.0026882038024035565
chrom1	1114	1_rs114	A	G	-0.011819324013354974	-0.011819324013354974
chrom1	1115	1_rs115	A	G	-0.041556367468968576	-0.041556367468968576
chrom1	1116	1_rs116	A	G	0.038416154826247925	0.038416154826247925
chrom1	1117	1_rs117	A	G	-0.01665626997791555	-0.01665626997791555
chrom1	1118	1_rs118	A	G	-0.008038493068474931	-0.008038493068474931
chrom1	1119	1_rs119	A	G	-0.015427669238104978	-0.015427669238104978
chrom1	1120	1_rs120	A	G	-0.03776743049234182	-0.03776743049234182
chrom1	1121	1_rs121	A	G	-0.03490723325836051	-0.03490723325836051
chrom1	1122	1_rs122	A	G	-0.0010131111810623204	-0.0010131111810623204
chrom1	1123	1_rs123	A	G	-0.04722284737519642	-0.04722284737519642
chrom1	1124	1_rs124	A	G	0.02811599022998145	0.02811599022998145
chrom1	1125	1_rs125	A	G	-0.0036949997092590656	-0.0036949997092590656
chrom1	1126	1_rs126	A	G	-0.006609149766307322	-0.006609149766307322
chrom1	1127	1_rs127	A	G	0.021042188260469975	0.021042188260469975
chrom1	1128	1_rs128	A	G	-0.023128352124247808	-0.023128352124247808
chrom1	1129	1_rs129	A	G	-0.01678655426086076	-0.01678655426086076
chrom1	1130	1_rs130	A	G	-0.01567548491891224	-0.01567548491891224
chrom1	1131	1_rs131	A	G	-0.01781604215167738	-0.01781604215167738
chrom1	1132	1_rs132	A	G	-0.010720117672309742	-0.010720117672309742
chrom1	1133	1_rs133	A	G	0.01897040661099286	0.01897040661099286
chrom1	1134	1_rs134	A	G	0.01752943005500609	0.01752943005500609
chrom1	1135	1_rs135	A	G	0.010511904096828853	0.010511904096828853
chrom1	1136	1_rs136	A	G	-0.008263149285896613	-0.008263149285896613
chrom1	1137	1_rs137	A	G	0.02771633257271651	0.02771633257271651
chrom1	1138	1_rs138	A	G	0.008472627607476859	0.008472627607476859
chrom1	1139	1_rs139	A	G	-0.002184309865976225	-0.002184309865976225
chrom1	1140	1_rs140	A	G	0.012586769069638603	0.012586769069638603
chrom1	1141	1_rs141	A	G	0.0044699538101844	0.0044699538101844
chrom1	1142	1_rs142	A	G	0.01533127277087131	0.01533127277087131
chrom1	1143	1_rs143	A	G	0.04535860794730495	0.04535860794730495
chrom1	1144	1_rs144	A	G	-0.0124278435397291	-0.0124278435397291
chrom1	1145	1_rs145	A	G	-0.020078446389562403	-0.020078446389562403
chrom1	1146	1_rs146	A	G	0.014950401468899177	0.014950401468899177
chrom1	1147	1_rs147	A	G	0.019597654053558157	0.019597654053558157
chrom1	1148	1_rs148	A	G	-0.0066332856494650235	-0.0066332856494650235
chrom1	1149	1_rs149	A	G	0.006437807977218266	0.006437807977218266
chrom1	1150	1_rs150	A	G	0.025560082524535975	0.025560082524535975
chrom1	1151	1_rs151	A	G	-0.01506290039904524	-0.01506290039904524
chrom1	1152	1_rs152	A	G	0.013491580004008552	0.013491580004008552
chrom1	1153	1_rs153	A	G	-0.02894714470646555	-0.02894714470646555
chrom1	1154	1_rs154	A	G	-0.024306037556123147	-0.024306037556123147
chrom1	1155	1_rs155	A	G	-0.0012687044742071083	-0.0012687044742071083
chrom1	1156	1_rs156	A	G	0.0018355797316908725	0.0018355797316908725
chrom1	1157	1_rs157	A	G	-0.010228785477962722	-0.010228785477962722
chrom1	1158	1_rs158	A	G	0.003789245816075304	0.003789245816075304
chrom1	1159	1_rs159	A	G	0.055414087883226756	0.055414087883226756
chrom1	1160	1_rs160	A	G	0.018800839817727302	0.018800839817727302
chrom1	1161	1_rs161	A	G	0.017405810222591595	0.017405810222591595
chrom1	1162	1_rs162	A	G	0.03256633165396315	0.03256633165396315
chrom1	1163	1_rs163	A	G	0.003506937103669466	0.003506937103669466
chrom1	1164	1_rs164	A	G	-0.013437405961911645	-0.013437405961911645
chrom1	1165	1_rs165	A	G	-0.02615124629088915	-0.02615124629088915
chrom1	1166	1_rs166	A	G	0.011699074538582424	0.011699074538582424
chrom1	1167	1_rs167	A	G	0.018816466431170617	0.018816466431170617
chrom1	1168	1_rs168	A	G	0.003093041697564349	0.003093041697564349
chrom1	1169	1_rs169	A	G	-0.011687269788770775	-0.011687269788770775
chrom1	1170	1_rs170	A	G	-0.010078117371236598	-0.010078117371236598
chrom1	1171	1_rs171	A	G	-0.032091634605001376	-0.032091634605001376
chrom1	1172	1_rs172	A	G	-0.006208426708975704	-0.006208426708975704
chrom1	1173	1_rs173	A	G	0.002581992703665658	0.002581992703665658
chrom1	1174	1_rs174	A	G	-0.015882459906054833	-0.015882459906054833
chrom1	1175	1_rs175	A	G	-0.008185670586618243	-0.008185670586618243
chrom1	1176	1_rs176	A	G	0.004960609804599558	0.004960609804599558
chrom1	1177	1_rs177	A	G	-0.0187045424413113	-0.0187045424413113
chrom1	1178	1_rs178	A	G	0.039010417324839716	0.039010417324839716
chrom1	1179	1_rs179	A	G	-0.016628156122480937	-0.016628156122480937
chrom1	1180	1_rs180	A	G	-0.008192567500646104	-0.008192567500646104
chrom1	1181	1_rs181	A	G	0.01072336666737749	0.01072336666737749
chrom1	1182	1_rs182	A	G	0.01590285403341167	0.01590285403341167
chrom1	1183	1_rs183	A	G	-0.0204174899500669	-0.0204174899500669
chrom1	1184	1_rs184	A	G	-0.004038605607871214	-0.004038605607871214
chrom1	1185	1_rs185	A	G	-0.017128378965798528	-0.017128378965798528
chrom1	1186	1_rs186	A	G	0.012622571029278197	0.012622571029278197
chrom1	1187	1_rs187	A	G	-0.023663695878109937	-0.023663695878109937
chrom1	1188	1_rs188	A	G	-0.031898411192910016	-0.031898411192910016
chrom1	1189	1_rs189	A	G	0.033040259353299434	0.033040259353299434
chrom1	1190	1_rs190	A	G	0.04025241992024943	0.04025241992024943
chrom1	1191	1_rs191	A	G	-0.006443125069643845	-0.006443125069643845
chrom1	1192	1_rs192	A	G	-0.00979097128795842	-0.00979097128795842
chrom1	1193	1_rs193	A	G	0.007920780863387595	0.007920780863387595
chrom1	1194	1_rs194	A	G	0.004520101416548797	0.004520101416548797
chrom1	1195	1_rs195	A	G	-0.006593584828535461	-0.006593584828535461
chrom1	1196	1_rs196	A	G	0.012109540684883825	0.012109540684883825
chrom1	1197	1_rs197	A	G	0.011995699969242327	0.011995699969242327
chrom1	1198	1_rs198	A	G	-0.006759100263291661	-0.006759100263291661
chrom1	1199	1_rs199	A	G	-0.013385743994833516	-0.013385743994833516
chrom1	1200	1_rs200	A	G	-0.016493883319986923	-0.016493883319986923
chrom1	1201	1_rs201	A	G	0.02088661924333975	0.02088661924333975
chrom1	1202	1_rs202	A	G	-0.02336926204577744	-0.02336926204577744
chrom1	1203	1_rs203	A	G	0.002410150967391244	0.002410150967391244
chrom1	1204	1_rs204	A	G	-0.009418445626271501	-0.009418445626271501
chrom1	1205	1_rs205	A	G	0.011930174017009807	0.011930174017009807
chrom1	1206	1_rs206	A	G	-0.020061928738571808	-0.020061928738571808
chrom1	1207	1_rs207	A	G	-0.01811585865753895	-0.01811585865753895
chrom1	1208	1_rs208	A	G	-0.018335485503646293	-0.018335485503646293
chrom1	1209	1_rs209	A	G	-0.021035276171848936	-0.021035276171848936
chrom1	1210	1_rs210	A	G	-0.02382139015161351	-0.02382139015161351
chrom1	1211	1_rs211	A	G	-0.02523791268616697	-0.02523791268616697
chrom1	1212	1_rs212	A	G	-0.023842780601166458	-0.023842780601166458
chrom1	1213	1_rs213	A	G	0.0013749471058787624	0.0013749471058787624
chrom1	1214	1_rs214	A	G	0.0019339217625185521	0.0019339217625185521
chrom1	1215	1_rs215	A	G	-0.0036789829698082224	-0.0036789829698082224
chrom1	1216	1_rs216	A	G	-0.02507707561008236	-0.02507707561008236
chrom1	1217	1_rs217	A	G	0.017502118265411162	0.017502118265411162
chrom1	1218	1_rs218	A	G	-0.0016021730166205072	-0.0016021730166205072
chrom1	1219	1_rs219	A	G	-0.005248246208195368	-0.005248246208195368
chrom1	1220	1_rs220	A	G	0.01737145356349289	0.01737145356349289
chrom1	1221	1_rs221	A	G	-0.018142713475290683	-0.018142713475290683
chrom1	1222	1_rs222	A	G	-0.002742998416487768	-0.002742998416487768
chrom1	1223	1_rs223	A	G	-0.0036050016847919675	-0.0036050016847919675
chrom1	1224	1_rs224	A	G	0.028444976794420422	0.028444976794420422
chrom1	1225	1_rs225	A	G	-0.012778426197691595	-0.012778426197691595
chrom1	1226	1_rs226	A	G	-0.009051336475167473	-0.009051336475167473
chrom1	1227	1_rs227	A	G	0.00024569612882178364	0.00024569612882178364
chrom1	1228	1_rs228	A	G	0.002285006233818395	0.002285006233818395
chrom1	1229	1_rs229	A	G	-0.010098389842386667	-0.010098389842386667
chrom1	1230	1_rs230	A	G	-0.010244299281606585	-0.010244299281606585
chrom1	1231	1_rs231	A	G	-0.02066192274248774	-0.02066192274248774
chrom1	1232	1_rs232	A	G	0.014114631704370896	0.014114631704370896
chrom1	1233	1_rs233	A	G	-0.03117341495379459	-0.03117341495379459
chrom1	1234	1_rs234	A	G	0.010970861576681016	0.010970861576681016
chrom1	1235	1_rs235	A	G	-0.029522224480347206	-0.029522224480347206
chrom1	1236	1_rs236	A	G	0.021764752821439845	0.021764752821439845
chrom1	1237	1_rs237	A	G	0.006099690135020793	0.006099690135020793
chrom1	1238	1_rs238	A	G	0.01642592303602528	0.01642592303602528
chrom1	1239	1_rs239	A	G	0.010364399502621368	0.010364399502621368
chrom1	1240	1_rs240	A	G	0.009694107876704192	0.009694107876704192
chrom1	1241	1_rs241	A	G	-0.023596262752002713	-0.023596262752002713
chrom1	1242	1_rs242	A	G	-0.018184948109694142	-0.018184948109694142
chrom1	1243	1_rs243	A	G	0.0019053684986134404	0.0019053684986134404
chrom1	1244	1_rs244	A	G	-0.015771170273869626	-0.015771170273869626
chrom1	1245	1_rs245	A	G	0.007427404030277226	0.007427404030277226
chrom1	1246	1_rs246	A	G	0.01999571452192737	0.01999571452192737
chrom1	1247	1_rs247	A	G	-0.009250372497221004	-0.009250372497221004
chrom1	1248	1_rs248	A	G	0.011771814383249242	0.011771814383249242
chrom1	1249	1_rs249	A	G	-0.0512061057701713	-0.0512061057701713
chrom1	1250	1_rs250	A	G	-0.0014647351778782195	-0.0014647351778782195
chrom1	1251	1_rs251	A	G	0.032726797645418707	0.032726797645418707
chrom1	1252	1_rs252	A	G	-0.00914320270440084	-0.00914320270440084
chrom1	1253	1_rs253	A	G	-0.05610498372864017	-0.05610498372864017
chrom1	1254	1_rs254	A	G	-0.03116645274279426	-0.03116645274279426
chrom1	1255	1_rs255	A	G	0.0021787096291070603	0.0021787096291070603
chrom1	1256	1_rs256	A	G	0.015970275355719456	0.015970275355719456
chrom1	1257	1_rs257	A	G	0.00410608664064199	0.00410608664064199
chrom1	1258	1_rs258	A	G	-0.00012066784143834115	-0.00012066784143834115
chrom1	1259	1_rs259	A	G	0.011957084915788247	0.011957084915788247
chrom1	1260	1_rs260	A	G	0.01071408309511452	0.01071408309511452
chrom1	1261	1_rs261	A	G	0.011615769521433943	0.011615769521433943
chrom1	1262	1_rs262	A	G	-0.01887460405228839	-0.01887460405228839
chrom1	1263	1_rs263	A	G	0.01465537955605398	0.01465537955605398
chrom1	1264	1_rs264	A	G	0.027724835249853495	0.027724835249853495
chrom1	1265	1_rs265	A	G	0.012895648893555744	0.012895648893555744
chrom1	1266	1_rs266	A	G	-0.03353605687840725	-0.03353605687840725
chrom1	1267	1_rs267	A	G	-0.02053841375300963	-0.02053841375300963
chrom1	1268	1_rs268	A	G	0.009468453909514911	0.009468453909514911
chrom1	1269	1_rs269	A	G	-0.037107782153668147	-0.037107782153668147
chrom1	1270	1_rs270	A	G	0.00989614195590827	0.00989614195590827
chrom1	1271	1_rs271	A	G	0.020045847802075703	0.020045847802075703
chrom1	1272	1_rs272	A	G	0.007549709597375809	0.007549709597375809
chrom1	1273	1_rs273	A	G	0.04440627832731732	0.04440627832731732
chrom1	1274	1_rs274	A	G	-0.004337828866758472	-0.004337828866758472
chrom1	1275	1_rs275	A	G	0.03717130394260298	0.03717130394260298
chrom1	1276	1_rs276	A	G	-0.03353078363121941	-0.03353078363121941
chrom1	1277	1_rs277	A	G	0.015236252607197246	0.015236252607197246
chrom1	1278	1_rs278	A	G	0.007853860671448165	0.007853860671448165
chrom1	1279	1_rs279	A	G	0.01282706797149933	0.01282706797149933
chrom1	1280	1_rs280	A	G	0.010837542588570585	0.010837542588570585
chrom1	1281	1_rs281	A	G	-0.0003134286931678221	-0.0003134286931678221
chrom1	1282	1_rs282	A	G	-0.011766402996355552	-0.011766402996355552
chrom1	1283	1_rs283	A	G	-0.009690064526702215	-0.009690064526702215
chrom1	1284	1_rs284	A	G	-0.004322086736396515	-0.004322086736396515
chrom1	1285	1_rs285	A	G	-0.03983563245666108	-0.03983563245666108
chrom1	1286	1_rs286	A	G	0.0056577383372230896	0.0056577383372230896
chrom1	1287	1_rs287	A	G	-0.03753716011153859	-0.03753716011153859
chrom1	1288	1_rs288	A	G	0.010920007732550866	0.010920007732550866
chrom1	1289	1_rs289	A	G	0.009984463340214978	0.009984463340214978
chrom1	1290	1_rs290	A	G	-0.006664408339871437	-0.006664408339871437
chrom1	1291	1_rs291	A	G	-0.027149527346620912	-0.027149527346620912
chrom1	1292	1_rs292	A	G	-0.014625902142962147	-0.014625902142962147
chrom1	1293	1_rs293	A	G	0.006503948348598255	0.006503948348598255
chrom1	1294	1_rs294	A	G	-0.030948630837397344	-0.030948630837397344
chrom1	1295	1_rs295	A	G	-0.003809054000017147	-0.003809054000017147
chrom1	1296	1_rs296	A	G	0.00019390566340918012	0.00019390566340918012
chrom1	1297	1_rs297	A	G	-0.019176782805991176	-0.019176782805991176
chrom1	1298	1_rs298	A	G	0.013690080495259325	0.013690080495259325
chrom1	1299	1_rs299	A	G	0.0020290488399844634	0.0020290488399844634
chrom1	1300	1_rs300	A	G	-0.007685072222370715	-0.007685072222370715
chrom1	1301	1_rs301	A	G	-0.004633147821980549	-0.004633147821980549
chrom1	1302	1_rs302	A	G	-0.012014628373096197	-0.012014628373096197
chrom1	1303	1_rs303	A	G	-0.038750064737845744	-0.038750064737845744
chrom1	1304	1_rs304	A	G	-0.007277227366310311	-0.007277227366310311
chrom1	1305	1_rs305	A	G	0.01995474510105415	0.01995474510105415
chrom1	1306	1_rs306	A	G	-0.010719604370253844	-0.010719604370253844
chrom1	1307	1_rs307	A	G	-0.00833466806087025	-0.00833466806087025
chrom1	1308	1_rs308	A	G	0.00976272167183643	0.00976272167183643
chrom1	1309	1_rs309	A	G	-0.020863571138514374	-0.020863571138514374
chrom1	1310	1_rs310	A	G	0.008386063874945202	0.008386063874945202
chrom1	1311	1_rs311	A	G	-0.03740856969700166	-0.03740856969700166
chrom1	1312	1_rs312	A	G	0.03477612301346993	0.03477612301346993
chrom1	1313	1_rs313	A	G	-0.010796715896581785	-0.010796715896581785
chrom1	1314	1_rs314	A	G	0.019757917329054596	0.019757917329054596
chrom1	1315	1_rs315	A	G	0.00842504855073474	0.00842504855073474
chrom1	1316	1_rs316	A	G	0.026266918464763426	0.026266918464763426
chrom1	1317	1_rs317	A	G	0.01552618503560049	0.01552618503560049
chrom1	1318	1_rs318	A	G	-0.0006039638116430023	-0.0006039638116430023
chrom1	1319	1_rs319	A	G	0.013331401796546407	0.013331401796546407
chrom1	1320	1_rs320	A	G	-0.015493754775519689	-0.015493754775519689
chrom1	1321	1_rs321	A	G	-0.01626664381657021	-0.01626664381657021
chrom1	1322	1_rs322	A	G	-0.016114141639330476	-0.016114141639330476
chrom1	1323	1_rs323	A	G	0.02158989173979316	0.02158989173979316
chrom1	1324	1_rs324	A	G	0.004081937506153405	0.004081937506153405
chrom1	1325	1_rs325	A	G	0.028591750070557417	0.028591750070557417
chrom1	1326	1_rs326	A	G	-0.00286908754636053	-0.00286908754636053
chrom1	1327	1_rs327	A	G	0.008009419062153831	0.008009419062153831
chrom1	1328	1_rs328	A	G	-0.04667860791395791	-0.04667860791395791
chrom1	1329	1_rs329	A	G	0.0010562229199027108	0.0010562229199027108
chrom1	1330	1_rs330	A	G	0.020924132543179926	0.020924132543179926
chrom1	1331	1_rs331	A	G	-0.0004100842445215358	-0.0004100842445215358
chrom1	1332	1_rs332	A	G	0.024603785665564964	0.024603785665564964
chrom1	1333	1_rs333	A	G	-0.011499627917829337	-0.011499627917829337
chrom1	1334	1_rs334	A	G	0.012548940734007053	0.012548940734007053
chrom1	1335	1_rs335	A	G	-0.02005672079605103	-0.02005672079605103
chrom1	1336	1_rs336	A	G	0.024371748785580728	0.024371748785580728
chrom1	1337	1_rs337	A	G	0.012707916825844136	0.012707916825844136
chrom1	1338	1_rs338	A	G	0.01506664442880955	0.01506664442880955
chrom1	1339	1_rs339	A	G	-0.038232046554592856	-0.038232046554592856
chrom1	1340	1_rs340	A	G	-0.01758521148650309	-0.01758521148650309
chrom1	1341	1_rs341	A	G	0.011525477614038373	0.011525477614038373
chrom1	1342	1_rs342	A	G	0.016305106189927948	0.016305106189927948
chrom1	1343	1_rs343	A	G	-0.008931592061302533	-0.008931592061302533
chrom1	1344	1_rs344	A	G	-0.032698680538993975	-0.032698680538993975
chrom1	1345	1_rs345	A	G	0.014746090041185236	0.014746090041185236
chrom1	1346	1_rs346	A	G	0.00869803809219222	0.00869803809219222
chrom1	1347	1_rs347	A	G	0.005613622837326859	0.005613622837326859
chrom1	1348	1_rs348	A	G	0.03449454094289491	0.03449454094289491
chrom1	1349	1_rs349	A	G	0.003928278435035438	0.003928278435035438
chrom1	1350	1_rs350	A	G	0.008653662946894455	0.008653662946894455
chrom1	1351	1_rs351	A	G	0.009906008615462585	0.009906008615462585
chrom1	1352	1_rs352	A	G	-0.01470388001396267	-0.01470388001396267
chrom1	1353	1_rs353	A	G	-0.015277542167425792	-0.015277542167425792
chrom1	1354	1_rs354	A	G	0.01319621134427136	0.01319621134427136
chrom1	1355	1_rs355	A	G	-0.03537865578833018	-0.03537865578833018
chrom1	1356	1_rs356	A	G	0.04517879220560268	0.04517879220560268
chrom1	1357	1_rs357	A	G	-0.005396747647940635	-0.005396747647940635
chrom1	1358	1_rs358	A	G	0.012208206523519139	0.012208206523519139
chrom1	1359	1_rs359	A	G	0.01980327759929999	0.01980327759929999
chrom1	1360	1_rs360	A	G	-0.008355111382376374	-0.008355111382376374
chrom1	1361	1_rs361	A	G	-0.039777663057638295	-0.039777663057638295
chrom1	1362	1_rs362	A	G	0.0026898366805734437	0.0026898366805734437
chrom1	1363	1_rs363	A	G	-0.012253546290355511	-0.012253546290355511
chrom1	1364	1_rs364	A	G	0.012673267269584076	0.012673267269584076
chrom1	1365	1_rs365	A	G	-0.033344610998284153	-0.033344610998284153
chrom1	1366	1_rs366	A	G	-0.01946979197505937	-0.01946979197505937
chrom1	1367	1_rs367	A	G	-0.009036116749803175	-0.009036116749803175
chrom1	1368	1_rs368	A	G	-0.01610494497887409	-0.01610494497887409
chrom1	1369	1_rs369	A	G	0.004699402180325276	0.004699402180325276
chrom1	1370	1_rs370	A	G	0.013424758911508159	0.013424758911508159
chrom1	1371	1_rs371	A	G	-0.029600438755549324	-0.029600438755549324
chrom1	1372	1_rs372	A	G	-0.007097397238959172	-0.007097397238959172
